,lyft_display_name,lyft_max_estimate,lyft_min_estimate,lyft_distance,lyft_duration,lyft_category
17383,Lyft Line,407,407,2.5,592,Carpool Service
17389,Lyft Line,395,395,2.44,539,Carpool Service
17395,Lyft Line,422,422,2.39,549,Carpool Service
17401,Lyft Line,388,388,1.5,424,Carpool Service
17407,Lyft Line,397,397,2.54,504,Carpool Service
17413,Lyft Line,421,421,2.42,531,Carpool Service
17419,Lyft Line,785,785,3.17,627,Carpool Service
17425,Lyft Line,390,390,3.03,607,Carpool Service
17431,Lyft Line,659,659,3.12,596,Carpool Service
17437,Lyft Line,633,633,3.65,760,Carpool Service
17443,Lyft Line,305,305,1.83,428,Carpool Service
17449,Lyft Line,398,398,2.72,506,Carpool Service
17455,Lyft Line,750,750,4.01,758,Carpool Service
17461,Lyft Line,416,416,2.61,493,Carpool Service
17467,Lyft Line,414,414,3.29,654,Carpool Service
17473,Lyft Line,333,333,2.01,613,Carpool Service
17479,Lyft Line,590,590,3.48,680,Carpool Service
17485,Lyft Line,388,388,2.49,647,Carpool Service
17491,Lyft Line,318,318,2.05,501,Carpool Service
17497,Lyft Line,648,648,3.56,756,Carpool Service
17503,Lyft Line,343,343,2.35,505,Carpool Service
17509,Lyft Line,324,324,1.59,403,Carpool Service
17515,Lyft Line,399,399,1.42,446,Carpool Service
17521,Lyft Line,409,409,2.57,524,Carpool Service
17527,Lyft Line,408,408,2.61,614,Carpool Service
17533,Lyft Line,359,359,2.33,506,Carpool Service
17539,Lyft Line,397,397,1.4,445,Carpool Service
17545,Lyft Line,860,860,3.59,666,Carpool Service
17551,Lyft Line,423,423,2.96,799,Carpool Service
17557,Lyft Line,602,602,1.72,454,Carpool Service
17563,Lyft Line,348,348,2.8,571,Carpool Service
17569,Lyft Line,351,351,2.22,497,Carpool Service
17575,Lyft Line,351,351,2.87,549,Carpool Service
17581,Lyft Line,616,616,1.83,477,Carpool Service
17587,Lyft Line,315,315,1.44,407,Carpool Service
17593,Lyft Line,817,817,3.26,753,Carpool Service
17599,Lyft Line,905,905,3.01,640,Carpool Service
17605,Lyft Line,368,368,2.15,493,Carpool Service
17611,Lyft Line,316,316,1.84,511,Carpool Service
17617,Lyft Line,408,408,3.1,759,Carpool Service
17623,Lyft Line,629,629,3.63,747,Carpool Service
17629,Lyft Line,596,596,2.92,529,Carpool Service
17635,Lyft Line,322,322,1.48,395,Carpool Service
17641,Lyft Line,340,340,1.96,526,Carpool Service
17647,Lyft Line,348,348,2.21,534,Carpool Service
17653,Lyft Line,478,478,3.47,674,Carpool Service
17659,Lyft Line,344,344,2.18,526,Carpool Service
17665,Lyft Line,423,423,2.82,462,Carpool Service
17671,Lyft Line,328,328,1.71,436,Carpool Service
17677,Lyft Line,322,322,2.06,524,Carpool Service
17683,Lyft Line,355,355,2.65,635,Carpool Service
17689,Lyft Line,322,322,1.95,513,Carpool Service
17695,Lyft Line,398,398,2.72,567,Carpool Service
17701,Lyft Line,494,494,3.7,609,Carpool Service
17707,Lyft Line,608,608,2.13,548,Carpool Service
17713,Lyft Line,596,596,3.46,814,Carpool Service
17719,Lyft Line,439,439,2.67,557,Carpool Service
17725,Lyft Line,316,316,1.85,567,Carpool Service
17731,Lyft Line,429,429,2.63,566,Carpool Service
17737,Lyft Line,720,720,3.07,567,Carpool Service
17743,Lyft Line,374,374,2.64,758,Carpool Service
17749,Lyft Line,356,356,2.2,537,Carpool Service
17755,Lyft Line,387,387,3.09,609,Carpool Service
17761,Lyft Line,364,364,2.44,689,Carpool Service
17767,Lyft Line,737,737,2.21,448,Carpool Service
17773,Lyft Line,419,419,1.69,406,Carpool Service
17779,Lyft Line,804,804,2.35,559,Carpool Service
17785,Lyft Line,857,857,2.49,739,Carpool Service
17791,Lyft Line,312,312,2.01,534,Carpool Service
17797,Lyft Line,324,324,1.73,537,Carpool Service
17803,Lyft Line,329,329,2.14,430,Carpool Service
17809,Lyft Line,342,342,1.37,386,Carpool Service
17815,Lyft Line,589,589,2.48,615,Carpool Service
17821,Lyft Line,349,349,1.98,526,Carpool Service
17827,Lyft Line,323,323,1.43,418,Carpool Service
17833,Lyft Line,357,357,2.71,601,Carpool Service
17839,Lyft Line,324,324,1.6,406,Carpool Service
17845,Lyft Line,305,305,1.75,466,Carpool Service
17851,Lyft Line,465,465,3.27,670,Carpool Service
17857,Lyft Line,483,483,2.22,592,Carpool Service
17863,Lyft Line,748,748,1.84,418,Carpool Service
17869,Lyft Line,304,304,1.9,345,Carpool Service
17875,Lyft Line,346,346,2.74,578,Carpool Service
17881,Lyft Line,822,822,2.03,497,Carpool Service
17887,Lyft Line,300,300,1.77,472,Carpool Service
17893,Lyft Line,396,396,2.29,490,Carpool Service
17899,Lyft Line,347,347,2.0,485,Carpool Service
17905,Lyft Line,803,803,2.56,506,Carpool Service
17911,Lyft Line,911,911,2.97,663,Carpool Service
17917,Lyft Line,793,793,2.45,488,Carpool Service
17923,Lyft Line,359,359,2.03,520,Carpool Service
17929,Lyft Line,781,781,3.12,593,Carpool Service
17935,Lyft Line,590,590,3.68,692,Carpool Service
17941,Lyft Line,321,321,1.63,469,Carpool Service
17947,Lyft Line,380,380,2.97,540,Carpool Service
17953,Lyft Line,326,326,1.94,544,Carpool Service
17959,Lyft Line,319,319,1.89,515,Carpool Service
17965,Lyft Line,636,636,1.52,374,Carpool Service
17971,Lyft Line,391,391,2.38,593,Carpool Service
17977,Lyft Line,434,434,3.02,762,Carpool Service
17983,Lyft Line,319,319,1.71,431,Carpool Service
17989,Lyft Line,322,322,1.47,447,Carpool Service
17995,Lyft Line,655,655,2.17,699,Carpool Service
18001,Lyft Line,748,748,3.99,748,Carpool Service
18007,Lyft Line,413,413,3.18,690,Carpool Service
18013,Lyft Line,406,406,3.06,627,Carpool Service
18019,Lyft Line,400,400,2.67,544,Carpool Service
18025,Lyft Line,429,429,2.7,548,Carpool Service
18031,Lyft Line,431,431,2.5,582,Carpool Service
18037,Lyft Line,414,414,3.14,647,Carpool Service
18043,Lyft Line,627,627,3.37,617,Carpool Service
18049,Lyft Line,384,384,2.83,627,Carpool Service
18055,Lyft Line,413,413,2.32,593,Carpool Service
18061,Lyft Line,344,344,2.08,506,Carpool Service
18067,Lyft Line,420,420,2.51,576,Carpool Service
18073,Lyft Line,747,747,1.52,374,Carpool Service
18079,Lyft Line,899,899,3.85,773,Carpool Service
18085,Lyft Line,559,559,2.53,498,Carpool Service
18091,Lyft Line,598,598,2.65,541,Carpool Service
18097,Lyft Line,585,585,2.32,566,Carpool Service
18103,Lyft Line,327,327,1.97,487,Carpool Service
18109,Lyft Line,986,986,2.96,788,Carpool Service
18115,Lyft Line,411,411,2.15,581,Carpool Service
18121,Lyft Line,389,389,2.85,586,Carpool Service
18127,Lyft Line,425,425,1.65,497,Carpool Service
18133,Lyft Line,403,403,2.33,468,Carpool Service
18139,Lyft Line,911,911,3.78,796,Carpool Service
18145,Lyft Line,886,886,2.85,611,Carpool Service
18151,Lyft Line,407,407,2.16,495,Carpool Service
18157,Lyft Line,919,919,2.6,492,Carpool Service
18163,Lyft Line,314,314,1.46,398,Carpool Service
18169,Lyft Line,315,315,1.84,509,Carpool Service
18175,Lyft Line,433,433,2.67,529,Carpool Service
18181,Lyft Line,413,413,2.32,593,Carpool Service
18187,Lyft Line,308,308,1.97,404,Carpool Service
18193,Lyft Line,400,400,2.26,593,Carpool Service
18199,Lyft Line,374,374,2.06,605,Carpool Service
18205,Lyft Line,320,320,1.87,475,Carpool Service
18211,Lyft Line,304,304,1.65,497,Carpool Service
18217,Lyft Line,378,378,2.42,555,Carpool Service
18223,Lyft Line,761,761,3.88,785,Carpool Service
18229,Lyft Line,305,305,1.37,418,Carpool Service
18235,Lyft Line,322,322,1.96,342,Carpool Service
18241,Lyft Line,335,335,2.04,513,Carpool Service
18247,Lyft Line,398,398,2.31,548,Carpool Service
18253,Lyft Line,414,414,2.62,575,Carpool Service
18259,Lyft Line,396,396,3.0,642,Carpool Service
18265,Lyft Line,374,374,2.23,535,Carpool Service
18271,Lyft Line,304,304,1.67,235,Carpool Service
18277,Lyft Line,368,368,2.29,472,Carpool Service
18283,Lyft Line,437,437,3.46,528,Carpool Service
18289,Lyft Line,302,302,1.92,434,Carpool Service
18295,Lyft Line,418,418,2.5,502,Carpool Service
18301,Lyft Line,316,316,1.72,451,Carpool Service
18307,Lyft Line,304,304,1.7,426,Carpool Service
18313,Lyft Line,311,311,1.58,417,Carpool Service
18319,Lyft Line,471,471,3.42,658,Carpool Service
18325,Lyft Line,366,366,2.01,580,Carpool Service
18331,Lyft Line,388,388,3.09,559,Carpool Service
18337,Lyft Line,318,318,1.51,360,Carpool Service
18343,Lyft Line,397,397,2.56,461,Carpool Service
18349,Lyft Line,745,745,3.17,587,Carpool Service
18355,Lyft Line,381,381,2.15,513,Carpool Service
18361,Lyft Line,442,442,2.8,539,Carpool Service
18367,Lyft Line,309,309,1.48,359,Carpool Service
18373,Lyft Line,439,439,2.79,502,Carpool Service
18379,Lyft Line,631,631,3.87,737,Carpool Service
18385,Lyft Line,340,340,2.0,509,Carpool Service
18391,Lyft Line,315,315,1.58,361,Carpool Service
18397,Lyft Line,336,336,2.09,452,Carpool Service
18403,Lyft Line,437,437,3.26,729,Carpool Service
18409,Lyft Line,401,401,2.29,643,Carpool Service
18415,Lyft Line,317,317,1.76,496,Carpool Service
18421,Lyft Line,406,406,2.47,605,Carpool Service
18427,Lyft Line,401,401,2.16,531,Carpool Service
18433,Lyft Line,394,394,2.9,600,Carpool Service
18439,Lyft Line,418,418,2.45,578,Carpool Service
18445,Lyft Line,429,429,2.6,532,Carpool Service
18451,Lyft Line,442,442,2.99,792,Carpool Service
18457,Lyft Line,376,376,2.05,615,Carpool Service
18463,Lyft Line,438,438,2.65,519,Carpool Service
18469,Lyft Line,403,403,1.5,405,Carpool Service
18475,Lyft Line,304,304,1.36,307,Carpool Service
18481,Lyft Line,883,883,3.66,706,Carpool Service
18487,Lyft Line,792,792,1.74,444,Carpool Service
18493,Lyft Line,903,903,2.55,477,Carpool Service
18499,Lyft Line,806,806,3.3,555,Carpool Service
18505,Lyft Line,981,981,3.23,627,Carpool Service
18511,Lyft Line,924,924,3.96,729,Carpool Service
18517,Lyft Line,378,378,2.06,483,Carpool Service
18523,Lyft Line,994,994,3.32,752,Carpool Service
18529,Lyft Line,396,396,2.19,430,Carpool Service
18535,Lyft Line,425,425,2.46,518,Carpool Service
18541,Lyft Line,489,489,2.31,527,Carpool Service
18547,Lyft Line,359,359,2.76,582,Carpool Service
18553,Lyft Line,408,408,2.88,580,Carpool Service
18559,Lyft Line,637,637,3.63,748,Carpool Service
18565,Lyft Line,390,390,2.31,491,Carpool Service
18571,Lyft Line,809,809,3.16,642,Carpool Service
18577,Lyft Line,451,451,3.34,763,Carpool Service
18583,Lyft Line,323,323,1.79,475,Carpool Service
18589,Lyft Line,766,766,2.96,727,Carpool Service
18595,Lyft Line,385,385,2.33,473,Carpool Service
18601,Lyft Line,473,473,3.43,668,Carpool Service
18607,Lyft Line,311,311,1.47,379,Carpool Service
18613,Lyft Line,433,433,2.51,540,Carpool Service
18619,Lyft Line,318,318,1.92,392,Carpool Service
18625,Lyft Line,310,310,1.37,408,Carpool Service
18631,Lyft Line,304,304,1.58,331,Carpool Service
18637,Lyft Line,312,312,1.55,353,Carpool Service
18643,Lyft Line,401,401,3.1,649,Carpool Service
18649,Lyft Line,330,330,1.86,498,Carpool Service
18655,Lyft Line,347,347,2.09,471,Carpool Service
18661,Lyft Line,440,440,2.72,500,Carpool Service
18667,Lyft Line,394,394,2.92,602,Carpool Service
18673,Lyft Line,414,414,2.91,672,Carpool Service
18679,Lyft Line,317,317,1.49,409,Carpool Service
18685,Lyft Line,311,311,1.47,379,Carpool Service
18691,Lyft Line,425,425,3.2,643,Carpool Service
18697,Lyft Line,432,432,2.69,555,Carpool Service
18703,Lyft Line,337,337,1.92,524,Carpool Service
18709,Lyft Line,336,336,2.16,426,Carpool Service
18715,Lyft Line,410,410,2.44,596,Carpool Service
18721,Lyft Line,438,438,3.26,628,Carpool Service
18727,Lyft Line,332,332,2.03,450,Carpool Service
18733,Lyft Line,410,410,3.22,582,Carpool Service
18739,Lyft Line,329,329,1.9,381,Carpool Service
18745,Lyft Line,363,363,2.15,563,Carpool Service
18751,Lyft Line,433,433,2.54,528,Carpool Service
18757,Lyft Line,429,429,2.5,476,Carpool Service
18763,Lyft Line,694,694,2.92,628,Carpool Service
18769,Lyft Line,432,432,2.65,537,Carpool Service
18775,Lyft Line,401,401,2.14,539,Carpool Service
18781,Lyft Line,434,434,2.45,565,Carpool Service
18787,Lyft Line,380,380,2.97,617,Carpool Service
18793,Lyft Line,523,523,2.73,542,Carpool Service
18799,Lyft Line,426,426,2.81,440,Carpool Service
18805,Lyft Line,383,383,2.16,524,Carpool Service
18811,Lyft Line,323,323,1.61,357,Carpool Service
18817,Lyft Line,416,416,3.03,790,Carpool Service
18823,Lyft Line,522,522,2.79,616,Carpool Service
18829,Lyft Line,441,441,3.22,671,Carpool Service
18835,Lyft Line,364,364,2.58,643,Carpool Service
18841,Lyft Line,325,325,1.54,400,Carpool Service
18847,Lyft Line,356,356,2.78,580,Carpool Service
18853,Lyft Line,418,418,2.11,549,Carpool Service
18859,Lyft Line,410,410,2.37,550,Carpool Service
18865,Lyft Line,341,341,2.06,504,Carpool Service
18871,Lyft Line,491,491,3.58,660,Carpool Service
18877,Lyft Line,429,429,2.73,541,Carpool Service
18883,Lyft Line,319,319,1.53,452,Carpool Service
18889,Lyft Line,316,316,1.85,516,Carpool Service
18895,Lyft Line,414,414,2.62,606,Carpool Service
18901,Lyft Line,365,365,2.31,399,Carpool Service
18907,Lyft Line,632,632,2.7,541,Carpool Service
18913,Lyft Line,412,412,3.03,692,Carpool Service
18919,Lyft Line,304,304,1.38,362,Carpool Service
18925,Lyft Line,311,311,1.6,471,Carpool Service
18931,Lyft Line,401,401,3.09,657,Carpool Service
18937,Lyft Line,648,648,2.29,436,Carpool Service
18943,Lyft Line,343,343,2.27,431,Carpool Service
18949,Lyft Line,611,611,2.39,417,Carpool Service
18955,Lyft Line,472,472,3.4,749,Carpool Service
18961,Lyft Line,400,400,2.86,601,Carpool Service
18967,Lyft Line,381,381,2.13,529,Carpool Service
18973,Lyft Line,324,324,1.95,422,Carpool Service
18979,Lyft Line,565,565,1.58,375,Carpool Service
18985,Lyft Line,379,379,2.33,438,Carpool Service
18991,Lyft Line,336,336,1.97,502,Carpool Service
18997,Lyft Line,374,374,2.79,571,Carpool Service
19003,Lyft Line,312,312,1.51,370,Carpool Service
19009,Lyft Line,338,338,2.15,449,Carpool Service
19015,Lyft Line,303,303,1.57,375,Carpool Service
19021,Lyft Line,515,515,3.4,693,Carpool Service
19027,Lyft Line,418,418,2.47,520,Carpool Service
19033,Lyft Line,420,420,2.56,559,Carpool Service
19039,Lyft Line,340,340,2.06,555,Carpool Service
19045,Lyft Line,398,398,3.1,703,Carpool Service
19051,Lyft Line,600,600,3.09,581,Carpool Service
19057,Lyft Line,351,351,2.08,566,Carpool Service
19063,Lyft Line,535,535,3.47,839,Carpool Service
19069,Lyft Line,305,305,1.5,420,Carpool Service
19075,Lyft Line,355,355,2.57,654,Carpool Service
19081,Lyft Line,366,366,2.22,543,Carpool Service
19087,Lyft Line,371,371,2.09,581,Carpool Service
19093,Lyft Line,365,365,2.73,668,Carpool Service
19099,Lyft Line,310,310,1.75,511,Carpool Service
19105,Lyft Line,348,348,2.23,484,Carpool Service
19111,Lyft Line,416,416,3.08,846,Carpool Service
19117,Lyft Line,315,315,1.47,407,Carpool Service
19123,Lyft Line,387,387,2.37,575,Carpool Service
19129,Lyft Line,397,397,2.32,538,Carpool Service
19135,Lyft Line,339,339,1.78,650,Carpool Service
19141,Lyft Line,402,402,2.38,563,Carpool Service
19147,Lyft Line,422,422,2.62,600,Carpool Service
19153,Lyft Line,368,368,2.29,492,Carpool Service
19159,Lyft Line,305,305,1.72,484,Carpool Service
19165,Lyft Line,317,317,1.72,470,Carpool Service
19171,Lyft Line,373,373,2.89,601,Carpool Service
19177,Lyft Line,336,336,1.54,427,Carpool Service
19183,Lyft Line,430,430,2.64,530,Carpool Service
19189,Lyft Line,301,301,1.78,490,Carpool Service
19195,Lyft Line,390,390,2.44,464,Carpool Service
19201,Lyft Line,351,351,1.98,549,Carpool Service
19207,Lyft Line,407,407,2.72,522,Carpool Service
19213,Lyft Line,316,316,1.88,450,Carpool Service
19219,Lyft Line,374,374,2.5,690,Carpool Service
19225,Lyft Line,369,369,2.21,569,Carpool Service
19231,Lyft Line,380,380,2.85,669,Carpool Service
19237,Lyft Line,505,505,2.14,472,Carpool Service
19243,Lyft Line,493,493,3.61,862,Carpool Service
19249,Lyft Line,425,425,2.73,579,Carpool Service
19255,Lyft Line,314,314,1.94,529,Carpool Service
19261,Lyft Line,389,389,2.63,753,Carpool Service
19267,Lyft Line,360,360,2.74,628,Carpool Service
19273,Lyft Line,312,312,1.68,538,Carpool Service
19279,Lyft Line,307,307,1.4,425,Carpool Service
19285,Lyft Line,383,383,3.17,637,Carpool Service
19291,Lyft Line,548,548,2.2,655,Carpool Service
19297,Lyft Line,310,310,1.4,403,Carpool Service
19303,Lyft Line,307,307,1.82,523,Carpool Service
19309,Lyft Line,392,392,3.06,674,Carpool Service
19315,Lyft Line,384,384,3.19,642,Carpool Service
19321,Lyft Line,310,310,1.73,274,Carpool Service
19327,Lyft Line,510,510,1.83,522,Carpool Service
19333,Lyft Line,750,750,3.81,841,Carpool Service
19339,Lyft Line,324,324,1.91,391,Carpool Service
19345,Lyft Line,423,423,2.49,599,Carpool Service
19351,Lyft Line,315,315,1.55,377,Carpool Service
19357,Lyft Line,371,371,2.88,731,Carpool Service
19363,Lyft Line,336,336,2.03,483,Carpool Service
19369,Lyft Line,365,365,3.02,562,Carpool Service
19375,Lyft Line,370,370,2.24,571,Carpool Service
19381,Lyft Line,704,704,3.54,887,Carpool Service
19387,Lyft Line,330,330,2.08,527,Carpool Service
19393,Lyft Line,391,391,2.37,667,Carpool Service
19399,Lyft Line,367,367,2.9,703,Carpool Service
19405,Lyft Line,766,766,3.93,999,Carpool Service
19411,Lyft Line,450,450,3.27,798,Carpool Service
19417,Lyft Line,367,367,2.54,764,Carpool Service
19423,Lyft Line,385,385,2.47,597,Carpool Service
19429,Lyft Line,323,323,1.84,577,Carpool Service
19435,Lyft Line,354,354,2.91,674,Carpool Service
19441,Lyft Line,411,411,2.34,593,Carpool Service
19447,Lyft Line,542,542,2.92,812,Carpool Service
19453,Lyft Line,315,315,1.66,536,Carpool Service
19459,Lyft Line,390,390,2.99,764,Carpool Service
19465,Lyft Line,378,378,2.27,623,Carpool Service
19471,Lyft Line,518,518,3.32,930,Carpool Service
19477,Lyft Line,577,577,3.56,879,Carpool Service
19483,Lyft Line,390,390,1.92,728,Carpool Service
19489,Lyft Line,767,767,4.15,900,Carpool Service
19495,Lyft Line,352,352,2.73,721,Carpool Service
19501,Lyft Line,384,384,3.21,780,Carpool Service
19507,Lyft Line,386,386,2.33,599,Carpool Service
19513,Lyft Line,349,349,1.91,667,Carpool Service
19519,Lyft Line,318,318,1.83,541,Carpool Service
19525,Lyft Line,308,308,1.8,540,Carpool Service
19531,Lyft Line,346,346,2.79,723,Carpool Service
19537,Lyft Line,374,374,2.86,701,Carpool Service
19543,Lyft Line,619,619,3.44,815,Carpool Service
19549,Lyft Line,381,381,2.33,622,Carpool Service
19555,Lyft Line,315,315,1.52,480,Carpool Service
19561,Lyft Line,349,349,2.57,761,Carpool Service
19567,Lyft Line,380,380,2.96,766,Carpool Service
19573,Lyft Line,322,322,1.47,506,Carpool Service
19579,Lyft Line,646,646,3.39,954,Carpool Service
19585,Lyft Line,491,491,3.27,860,Carpool Service
19591,Lyft Line,350,350,2.72,638,Carpool Service
19597,Lyft Line,338,338,2.53,689,Carpool Service
19603,Lyft Line,378,378,2.33,651,Carpool Service
19609,Lyft Line,404,404,2.32,598,Carpool Service
19615,Lyft Line,553,553,3.55,782,Carpool Service
19621,Lyft Line,499,499,3.6,791,Carpool Service
19627,Lyft Line,426,426,2.41,646,Carpool Service
19633,Lyft Line,311,311,1.64,512,Carpool Service
19639,Lyft Line,369,369,2.84,745,Carpool Service
19645,Lyft Line,316,316,1.91,496,Carpool Service
19651,Lyft Line,424,424,3.51,652,Carpool Service
19657,Lyft Line,373,373,2.97,796,Carpool Service
19663,Lyft Line,460,460,1.94,526,Carpool Service
19669,Lyft Line,382,382,2.1,657,Carpool Service
19675,Lyft Line,643,643,3.55,794,Carpool Service
19681,Lyft Line,320,320,1.6,486,Carpool Service
19687,Lyft Line,351,351,2.79,759,Carpool Service
19693,Lyft Line,455,455,3.38,751,Carpool Service
19699,Lyft Line,338,338,2.46,713,Carpool Service
19705,Lyft Line,374,374,2.85,696,Carpool Service
19711,Lyft Line,410,410,3.19,619,Carpool Service
19717,Lyft Line,428,428,1.9,530,Carpool Service
19723,Lyft Line,333,333,1.86,581,Carpool Service
19729,Lyft Line,460,460,1.94,526,Carpool Service
19735,Lyft Line,316,316,1.58,514,Carpool Service
19741,Lyft Line,324,324,2.65,677,Carpool Service
19747,Lyft Line,722,722,3.57,1097,Carpool Service
19753,Lyft Line,785,785,4.04,1150,Carpool Service
19759,Lyft Line,482,482,3.43,801,Carpool Service
19765,Lyft Line,346,346,2.82,805,Carpool Service
19771,Lyft Line,361,361,1.58,485,Carpool Service
19777,Lyft Line,522,522,2.85,1150,Carpool Service
19783,Lyft Line,431,431,1.93,857,Carpool Service
19789,Lyft Line,374,374,2.72,999,Carpool Service
19795,Lyft Line,413,413,2.29,729,Carpool Service
19801,Lyft Line,328,328,2.47,781,Carpool Service
19807,Lyft Line,424,424,1.76,788,Carpool Service
19813,Lyft Line,312,312,2.44,742,Carpool Service
19819,Lyft Line,336,336,2.73,932,Carpool Service
19825,Lyft Line,433,433,2.11,817,Carpool Service
19831,Lyft Line,780,780,2.42,911,Carpool Service
19837,Lyft Line,431,431,2.39,696,Carpool Service
19843,Lyft Line,383,383,2.95,810,Carpool Service
19849,Lyft Line,346,346,2.33,837,Carpool Service
19855,Lyft Line,359,359,2.76,851,Carpool Service
19861,Lyft Line,400,400,1.8,734,Carpool Service
19867,Lyft Line,429,429,2.35,592,Carpool Service
19873,Lyft Line,415,415,1.95,769,Carpool Service
19879,Lyft Line,358,358,2.7,949,Carpool Service
19885,Lyft Line,517,517,1.91,602,Carpool Service
19891,Lyft Line,336,336,2.63,786,Carpool Service
19897,Lyft Line,335,335,2.43,781,Carpool Service
19903,Lyft Line,362,362,1.93,595,Carpool Service
19909,Lyft Line,332,332,2.7,734,Carpool Service
19915,Lyft Line,492,492,1.56,607,Carpool Service
19921,Lyft Line,682,682,2.79,1192,Carpool Service
19927,Lyft Line,311,311,2.49,713,Carpool Service
19933,Lyft Line,416,416,1.98,762,Carpool Service
19939,Lyft Line,379,379,2.85,893,Carpool Service
19945,Lyft Line,334,334,1.46,589,Carpool Service
19951,Lyft Line,429,429,2.12,733,Carpool Service
19957,Lyft Line,405,405,1.74,733,Carpool Service
19963,Lyft Line,382,382,1.41,543,Carpool Service
19969,Lyft Line,358,358,1.82,613,Carpool Service
19975,Lyft Line,432,432,2.33,615,Carpool Service
19981,Lyft Line,441,441,3.19,849,Carpool Service
19987,Lyft Line,932,932,1.81,724,Carpool Service
19993,Lyft Line,382,382,2.07,674,Carpool Service
19999,Lyft Line,344,344,1.55,570,Carpool Service
20005,Lyft Line,303,303,1.97,918,Carpool Service
20011,Lyft Line,358,358,2.74,850,Carpool Service
20017,Lyft Line,763,763,2.46,1027,Carpool Service
20023,Lyft Line,456,456,2.74,1021,Carpool Service
20029,Lyft Line,387,387,1.47,505,Carpool Service
20035,Lyft Line,910,910,2.6,955,Carpool Service
20041,Lyft Line,691,691,3.25,1071,Carpool Service
20047,Lyft Line,352,352,1.77,644,Carpool Service
20053,Lyft Line,339,339,2.54,758,Carpool Service
20059,Lyft Line,739,739,3.43,1063,Carpool Service
20065,Lyft Line,392,392,2.07,635,Carpool Service
20071,Lyft Line,460,460,3.12,922,Carpool Service
20077,Lyft Line,346,346,2.67,866,Carpool Service
20083,Lyft Line,1060,1060,3.53,1116,Carpool Service
20089,Lyft Line,338,338,1.58,618,Carpool Service
20095,Lyft Line,426,426,2.39,610,Carpool Service
20101,Lyft Line,345,345,2.66,857,Carpool Service
20107,Lyft Line,408,408,2.29,706,Carpool Service
20113,Lyft Line,781,781,3.85,1199,Carpool Service
20119,Lyft Line,357,357,2.67,872,Carpool Service
20125,Lyft Line,362,362,2.78,941,Carpool Service
20131,Lyft Line,409,409,2.2,585,Carpool Service
20137,Lyft Line,357,357,1.89,581,Carpool Service
20143,Lyft Line,522,522,2.75,1200,Carpool Service
20149,Lyft Line,394,394,2.26,628,Carpool Service
20155,Lyft Line,821,821,4.07,1337,Carpool Service
20161,Lyft Line,339,339,2.63,893,Carpool Service
20167,Lyft Line,687,687,3.31,1005,Carpool Service
20173,Lyft Line,409,409,2.03,706,Carpool Service
20179,Lyft Line,351,351,2.5,977,Carpool Service
20185,Lyft Line,447,447,2.83,1118,Carpool Service
20191,Lyft Line,384,384,1.56,729,Carpool Service
20197,Lyft Line,406,406,2.15,688,Carpool Service
20203,Lyft Line,302,302,2.13,852,Carpool Service
20209,Lyft Line,354,354,2.73,911,Carpool Service
20215,Lyft Line,433,433,1.5,614,Carpool Service
20221,Lyft Line,322,322,2.41,933,Carpool Service
20227,Lyft Line,916,916,3.07,928,Carpool Service
20233,Lyft Line,717,717,3.57,1079,Carpool Service
20239,Lyft Line,365,365,1.58,647,Carpool Service
20245,Lyft Line,332,332,2.75,894,Carpool Service
20251,Lyft Line,480,480,3.05,958,Carpool Service
20257,Lyft Line,743,743,2.58,958,Carpool Service
20263,Lyft Line,453,453,2.28,647,Carpool Service
20269,Lyft Line,886,886,3.18,1178,Carpool Service
20275,Lyft Line,425,425,1.43,601,Carpool Service
20281,Lyft Line,347,347,1.63,708,Carpool Service
20287,Lyft Line,823,823,2.97,1073,Carpool Service
20293,Lyft Line,352,352,1.86,559,Carpool Service
20299,Lyft Line,672,672,3.29,1085,Carpool Service
20305,Lyft Line,650,650,3.23,1048,Carpool Service
20311,Lyft Line,457,457,3.01,937,Carpool Service
20317,Lyft Line,391,391,1.63,510,Carpool Service
20323,Lyft Line,348,348,1.85,767,Carpool Service
20329,Lyft Line,345,345,2.22,803,Carpool Service
20335,Lyft Line,344,344,2.52,911,Carpool Service
20341,Lyft Line,342,342,2.75,871,Carpool Service
20347,Lyft Line,336,336,2.64,967,Carpool Service
20353,Lyft Line,437,437,1.33,606,Carpool Service
20359,Lyft Line,313,313,2.51,807,Carpool Service
20365,Lyft Line,444,444,2.89,990,Carpool Service
20371,Lyft Line,334,334,1.47,638,Carpool Service
20377,Lyft Line,447,447,2.43,672,Carpool Service
20383,Lyft Line,374,374,2.75,908,Carpool Service
20389,Lyft Line,723,723,3.58,1104,Carpool Service
20395,Lyft Line,325,325,2.31,818,Carpool Service
20401,Lyft Line,797,797,3.78,1332,Carpool Service
20407,Lyft Line,468,468,2.97,1055,Carpool Service
20413,Lyft Line,707,707,3.01,1323,Carpool Service
20419,Lyft Line,453,453,3.12,966,Carpool Service
20425,Lyft Line,316,316,2.38,886,Carpool Service
20431,Lyft Line,411,411,2.85,997,Carpool Service
20437,Lyft Line,345,345,1.84,470,Carpool Service
20443,Lyft Line,886,886,2.99,1106,Carpool Service
20449,Lyft Line,409,409,3.03,914,Carpool Service
20455,Lyft Line,357,357,1.54,718,Carpool Service
20461,Lyft Line,409,409,1.59,359,Carpool Service
20467,Lyft Line,439,439,3.1,948,Carpool Service
